sample	base_editor	dose
ABE8e-SpRY_D0	ABE8e-SpRY	D0
ABE8e-SpRY_D1	ABE8e-SpRY	D1
ABE8e-SpRY_D2	ABE8e-SpRY	D2
ABE8e-SpRY_D3	ABE8e-SpRY	D3
ABE8e-SpRY_D4	ABE8e-SpRY	D4
ABE8e-SpRY_D5	ABE8e-SpRY	D5
ABE8e_D0	ABE8e	D0
ABE8e_D1	ABE8e	D1
ABE8e_D2	ABE8e	D2
ABE8e_D3	ABE8e	D3
ABE8e_D4	ABE8e	D4
ABE8e_D5	ABE8e	D5
ABE_D0	ABE	D0
ABE_D1	ABE	D1
ABE_D2	ABE	D2
ABE_D3	ABE	D3
ABE_D4	ABE	D4
ABE_D5	ABE	D5
ABEmax-NG_D0	ABEmax-NG	D0
ABEmax-NG_D1	ABEmax-NG	D1
ABEmax-NG_D2	ABEmax-NG	D2
ABEmax-NG_D3	ABEmax-NG	D3
ABEmax-NG_D4	ABEmax-NG	D4
ABEmax-NG_D5	ABEmax-NG	D5
AXBE_D0	AXBE	D0
AXBE_D1	AXBE	D1
AXBE_D2	AXBE	D2
AXBE_D3	AXBE	D3
AXBE_D4	AXBE	D4
AXBE_D5	AXBE	D5
AYBE_D0	AYBE	D0
AYBE_D1	AYBE	D1
AYBE_D2	AYBE	D2
AYBE_D3	AYBE	D3
AYBE_D4	AYBE	D4
AYBE_D5	AYBE	D5
CBE6d_D0	CBE6d	D0
CBE6d_D1	CBE6d	D1
CBE6d_D2	CBE6d	D2
CBE6d_D3	CBE6d	D3
CBE6d_D4	CBE6d	D4
CBE6d_D5	CBE6d	D5
CGBE1-NG_D0	CGBE1-NG	D0
CGBE1-NG_D1	CGBE1-NG	D1
CGBE1-NG_D2	CGBE1-NG	D2
CGBE1-NG_D3	CGBE1-NG	D3
CGBE1-NG_D4	CGBE1-NG	D4
CGBE1-NG_D5	CGBE1-NG	D5
CGBE1_D0	CGBE1	D0
CGBE1_D1	CGBE1	D1
CGBE1_D2	CGBE1	D2
CGBE1_D3	CGBE1	D3
CGBE1_D4	CGBE1	D4
CGBE1_D5	CGBE1	D5
SPACE-deltaCBE_D0	SPACE-deltaCBE	D0
SPACE-deltaCBE_D1	SPACE-deltaCBE	D1
SPACE-deltaCBE_D2	SPACE-deltaCBE	D2
SPACE-deltaCBE_D3	SPACE-deltaCBE	D3
SPACE-deltaCBE_D4	SPACE-deltaCBE	D4
SPACE-deltaCBE_D5	SPACE-deltaCBE	D5
SPACE-NG_D0	SPACE-NG	D0
SPACE-NG_D1	SPACE-NG	D1
SPACE-NG_D2	SPACE-NG	D2
SPACE-NG_D3	SPACE-NG	D3
SPACE-NG_D4	SPACE-NG	D4
SPACE-NG_D5	SPACE-NG	D5
SPACE_D0	SPACE	D0
SPACE_D1	SPACE	D1
SPACE_D2	SPACE	D2
SPACE_D3	SPACE	D3
SPACE_D4	SPACE	D4
SPACE_D5	SPACE	D5
TadCBEd_D0	TadCBEd	D0
TadCBEd_D1	TadCBEd	D1
TadCBEd_D2	TadCBEd	D2
TadCBEd_D3	TadCBEd	D3
TadCBEd_D4	TadCBEd	D4
TadCBEd_D5	TadCBEd	D5
miniCGBE1-SpRY_D0	miniCGBE1-SpRY	D0
miniCGBE1-SpRY_D1	miniCGBE1-SpRY	D1
miniCGBE1-SpRY_D2	miniCGBE1-SpRY	D2
miniCGBE1-SpRY_D3	miniCGBE1-SpRY	D3
miniCGBE1-SpRY_D4	miniCGBE1-SpRY	D4
miniCGBE1-SpRY_D5	miniCGBE1-SpRY	D5
